Activity Type,Date,Environment,Country,City,Title,Distance (km),Calories,Time,Avg HR,Max HR
Cycling,1/24/2016 13:07,Outdoor,USA,"Frisco, TX",Frisco Cycling,43.12,"1,732",1:46:08,169,192
Cycling,1/31/2016 9:56,Outdoor,USA,"Frisco, TX",Frisco Cycling,39.65,"1,214",2:00:01,140,187
Cycling,2/7/2016 7:45,Outdoor,USA,"Frisco, TX",Frisco Cycling,102.54,"3,390",4:17:40,160,188
Cycling,2/16/2016 18:33,Outdoor,USA,"Frisco, TX",Frisco Cycling,52.01,"1,713",1:48:14,164,193
Cycling,2/18/2016 18:32,Outdoor,USA,"Frisco, TX",Frisco Cycling,51.3,"1,709",1:45:52,166,191
Cycling,2/27/2016 7:27,Outdoor,USA,"Frisco, TX",Frisco Cycling,105.81,"3,161",4:06:39,155,190
Cycling,3/2/2016 17:48,Outdoor,USA,"Frisco, TX",Frisco Cycling,66.05,"2,178",2:34:24,162,197
Cycling,3/3/2016 18:36,Outdoor,USA,"Frisco, TX",Frisco Cycling,52.99,"1,390",1:43:21,152,187
Cycling,3/5/2016 7:30,Outdoor,USA,"Frisco, TX",Frisco Cycling,104.47,"2,751",3:34:01,156,182
Cycling,3/13/2016 15:28,Outdoor,USA,"Frisco, TX",Frisco Cycling,8.4,176,0:31:23,104,135
Cycling,3/16/2016 18:31,Outdoor,USA,"Frisco, TX",Frisco Cycling,45.55,"1,381",1:35:23,158,193
Cycling,3/19/2016 7:31,Outdoor,USA,"Frisco, TX",Frisco Cycling,91.8,"2,873",3:32:49,159,188
Cycling,3/31/2016 18:34,Outdoor,USA,"Frisco, TX",Frisco Cycling,53.06,"1,364",1:42:39,152,191
Running,4/2/2016 8:38,Outdoor,USA,"Frisco, TX",Running,5.91,426,0:42:31,131,162
Cycling,4/5/2016 18:00,Outdoor,USA,"Frisco, TX",Frisco Cycling,60.79,"1,931",2:09:13,162,200
Running,4/6/2016 18:15,Outdoor,USA,"Frisco, TX",Running,5.56,390,0:46:57,123,153
Cycling,4/7/2016 18:37,Outdoor,USA,"Frisco, TX",Frisco Cycling,51.9,"1,514",1:47:34,156,186
Running,4/8/2016 5:46,Outdoor,USA,"Frisco, TX",Running,4.8,323,0:37:39,121,153
Running,4/10/2016 9:39,Outdoor,USA,"Mckinney, TX",McKinney Running,3.95,304,0:28:12,136,171
Running,4/13/2016 5:55,Outdoor,USA,"Frisco, TX",Running,4.62,353,0:33:59,137,169
Cycling,4/14/2016 18:36,Outdoor,USA,"Frisco, TX",Frisco Cycling,52.81,"1,603",1:41:44,164,188
Running,4/18/2016 18:16,Outdoor,USA,"Frisco, TX",Running,6.95,547,0:52:36,141,176
Cycling,4/19/2016 18:36,Outdoor,USA,"Frisco, TX",Frisco Cycling,51.93,"1,636",1:43:08,164,189
Running,4/20/2016 20:37,Outdoor,USA,"Frisco, TX",Running,5.4,434,0:45:37,133,169
Running,4/21/2016 5:40,Outdoor,USA,"Frisco, TX",Running,3.78,257,0:36:29,115,128
Cycling,4/21/2016 17:53,Outdoor,USA,"Frisco, TX",Frisco Cycling,71.45,"2,268",2:34:06,163,192
Cycling,4/23/2016 6:57,Outdoor,USA,"Frisco, TX",Frisco Cycling,91.81,"2,439",3:13:11,153,184
Cycling,4/26/2016 11:51,Outdoor,USA,"Plano, TX",Plano Cycling,19.04,592,0:48:20,139,156
Cycling,4/30/2016 5:26,Outdoor,USA,"Frisco, TX",Frisco Cycling,182.33,"5,367",6:44:51,155,184
Cycling,5/1/2016 6:47,Outdoor,USA,"Fortworkth, TX",Fort Worth Cycling,102.02,"3,364",4:09:34,154,180
